link,img,product,color,brand,greenable,discounted,disc_price,orig_price
/en/product/hoodie-venice-address-grey-deux-ex-machina-322916,https://static.smallable.com/1731880-648x648q80/.jpg,hoodie venice address,grey,deus ex machina,0,0,119.0,119.0
/en/product/lionel-sunglasses-green-komono-313851,https://static.smallable.com/1678544-648x648q80/.jpg,lionel sunglasses,green,komono,1,0,59.0,59.0
/en/product/set-2-paires-chaussettes-collection-adulte-khaki-bobo-choses-324296,https://static.smallable.com/1731207-648x648q80/.jpg,set 2 paires chaussettes - collection adulte ,khaki,bobo choses,0,0,30.0,30.0
/en/product/hoodie-essential-black-the-north-face-335350,https://static.smallable.com/1731362-648x648q80/.jpg,hoodie essential,black,the north face,0,0,85.0,85.0
/en/product/hoodie-essential-heather-grey-the-north-face-335351,https://static.smallable.com/1731364-648x648q80/.jpg,hoodie essential,heather grey,the north face,0,0,85.0,85.0
/en/product/classic-backpack-yellow-the-north-face-296854,https://static.smallable.com/1543537-648x648q80/.jpg,classic backpack,yellow,the north face,0,0,125.0,125.0
/en/product/t-shirt-county-brown-deux-ex-machina-322898,https://static.smallable.com/1730752-648x648q80/.jpg,t-shirt county,brown,deus ex machina,0,0,49.0,49.0
/en/product/t-shirt-county-white-deux-ex-machina-322897,https://static.smallable.com/1730748-648x648q80/.jpg,t-shirt county,white,deus ex machina,1,0,49.0,49.0
/en/product/t-shirt-inline-khaki-deux-ex-machina-322896,https://static.smallable.com/1730744-648x648q80/.jpg,t-shirt inline ,khaki,deus ex machina,1,0,49.0,49.0
/en/product/t-shirt-time-and-sound-charcoal-grey-deux-ex-machina-322892,https://static.smallable.com/1730732-648x648q80/.jpg,t-shirt time and sound,charcoal grey,deus ex machina,1,0,69.0,69.0
/en/product/t-shirt-pub-nuisance-charcoal-grey-deux-ex-machina-322891,https://static.smallable.com/1730728-648x648q80/.jpg,t-shirt pub nuisance,charcoal grey,deus ex machina,1,0,89.0,89.0
/en/product/t-shirt-screw-loose-white-deux-ex-machina-322890,https://static.smallable.com/1730724-648x648q80/.jpg,t-shirt screw loose,white,deus ex machina,1,0,69.0,69.0
