link,img,product,color,brand,greenable,discounted,disc_price,orig_price,collection
/en/product/adam-oxford-shirt-white-wood-wood-292195,https://static.smallable.com/1524716-648x648q80/.jpg,adam oxford shirt,white,wood wood,1,1,75.0,125.0,ss
/en/product/shorts-red-bather-319655,https://static.smallable.com/1682764-648x648q80/.jpg,shorts,red,bather,1,0,85.0,85.0,ss
/en/product/cap-light-blue-bather-319662,https://static.smallable.com/1682773-648x648q80/.jpg,cap,light blue,bather,0,0,60.0,60.0,ss
/en/product/plain-recycled-swim-shorts-navy-blue-bather-319639,https://static.smallable.com/1682733-648x648q80/.jpg,plain recycled swim shorts,navy blue,bather,1,0,90.0,90.0,ss
/en/product/casquette-sunflare-trucker-black-deux-ex-machina-305914,https://static.smallable.com/1702026-648x648q80/.jpg,casquette sunflare trucker,black,deus ex machina,0,1,23.4,39.0,ss
/en/product/casquette-sunrise-dad-white-deux-ex-machina-305917,https://static.smallable.com/1615384-648x648q80/.jpg,casquette sunrise dad,white,deus ex machina,0,0,39.0,39.0,ss
/en/product/custine-xl-water-resistant-coated-leather-belt-bag-black-rive-droite-295685,https://static.smallable.com/1562089-648x648q80/.jpg,custine xl water resistant coated leather belt bag,black,rivedroite,1,0,80.0,80.0,ss
/en/product/check-fanny-pack-caramel-rose-in-april-316430,https://static.smallable.com/1670666-648x648q80/.jpg,check fanny pack,caramel,rose in april,1,0,45.0,45.0,ss
/en/product/beach-bag-yellow-bather-319658,https://static.smallable.com/1682767-648x648q80/.jpg,beach bag,yellow,bather,0,0,75.0,75.0,ss
/en/product/organic-fleece-shorts-heather-grey-smallable-basics-315934,https://static.smallable.com/1717332-648x648q80/.jpg,organic fleece shorts,heather grey,smallable basics,1,0,75.0,75.0,ss
/en/product/collaboration-avnier-x-quicksilver-chapeau-gamma-black-avnier-330010,https://static.smallable.com/1709933-648x648q80/.jpg,collaboration avnier x quicksilver - chapeau gamma,black,avnier,0,0,65.0,65.0,ss
/en/product/collaboration-avnier-x-quicksilver-casquette-contrast-black-avnier-330009,https://static.smallable.com/1709925-648x648q80/.jpg,collaboration avnier x quicksilver - casquette contrast,black,avnier,1,0,49.0,49.0,ss
/en/product/collaboration-avnier-x-quicksilver-hoodie-onset-black-avnier-330008,https://static.smallable.com/1709917-648x648q80/.jpg,collaboration avnier x quicksilver - hoodie onset,black,avnier,1,0,135.0,135.0,ss
/en/product/collaboration-avnier-x-quicksilver-t-shirt-source-black-avnier-330006,https://static.smallable.com/1709905-648x648q80/.jpg,collaboration avnier x quicksilver - t-shirt source,black,avnier,1,0,65.0,65.0,ss
/en/product/collaboration-avnier-x-quicksilver-banane-jump-cut-black-avnier-330011,https://static.smallable.com/1709940-648x648q80/.jpg,collaboration avnier x quicksilver - banane jump cut,black,avnier,1,0,55.0,55.0,ss
/en/product/boonie-waterproof-hat-sand-rains-310831,https://static.smallable.com/1616512-648x648q80/.jpg,boonie waterproof hat,sand,rains,0,1,16.2,27.0,ss
/en/product/d-tortoise-sunglasses-beige-izipizi-121756,https://static.smallable.com/861528-648x648q80/d-tortoise-sunglasses.jpg,#d tortoise sunglasses,beige,izipizi,0,0,40.0,40.0,ss
/en/product/collaboration-avnier-x-quicksilver-short-amphibian-green-water-avnier-330012,https://static.smallable.com/1709946-648x648q80/.jpg,collaboration avnier x quicksilver - short amphibian,green water,avnier,1,0,79.0,79.0,ss
/en/product/collaboration-avnier-x-quicksilver-t-shirt-source-peach-avnier-330007,https://static.smallable.com/1709912-648x648q80/.jpg,collaboration avnier x quicksilver - t-shirt source,peach,avnier,1,0,65.0,65.0,ss
/en/product/collaboration-avnier-x-quicksilver-t-shirt-source-blue-avnier-330005,https://static.smallable.com/1709899-648x648q80/.jpg,collaboration avnier x quicksilver - t-shirt source,blue,avnier,1,0,65.0,65.0,ss
/en/product/haleiwa-recycled-cotton-t-shirt-260g-green-sunray-322406,https://static.smallable.com/1707419-648x648q80/.jpg,haleiwa recycled cotton t-shirt 260g,green,sunray,1,0,77.0,77.0,ss
/en/product/haleiwa-recycled-cotton-t-shirt-260g-pale-green-sunray-322407,https://static.smallable.com/1707420-648x648q80/.jpg,haleiwa recycled cotton t-shirt 260g,pale green,sunray,1,0,83.0,83.0,ss
/en/product/haleiwa-recycled-cotton-t-shirt-260g-light-blue-sunray-322408,https://static.smallable.com/1707421-648x648q80/.jpg,haleiwa recycled cotton t-shirt 260g,light blue,sunray,1,0,85.0,85.0,ss
/en/product/short-de-bain-homme-en-polyester-recycle-camel-smallable-basics-315848,https://static.smallable.com/1706454-648x648q80/.jpg,short de bain homme en polyester recycle,camel,smallable basics,1,1,48.3,69.0,ss
