link,img,product,color,brand,greenable,discounted,disc_price,orig_price
/en/product/lionel-sunglasses-green-komono-313851,https://static.smallable.com/1678544-648x648q80/.jpg,lionel sunglasses,green,komono,1,0,59.0,59.0
/en/product/set-2-paires-chaussettes-collection-adulte-khaki-bobo-choses-324296,https://static.smallable.com/1731207-648x648q80/.jpg,set 2 paires chaussettes - collection adulte ,khaki,bobo choses,0,0,30.0,30.0
/en/product/hoodie-essential-black-the-north-face-335350,https://static.smallable.com/1731362-648x648q80/.jpg,hoodie essential,black,the north face,0,0,85.0,85.0
/en/product/hoodie-essential-heather-grey-the-north-face-335351,https://static.smallable.com/1731364-648x648q80/.jpg,hoodie essential,heather grey,the north face,0,0,85.0,85.0
/en/product/bas-de-maillot-classic-boucle-ecru-ziah-322234,https://static.smallable.com/1709350-648x648q80/.jpg,bas de maillot classic boucle,ecru,ziah,1,0,108.0,108.0
/en/product/haut-de-maillot-triangle-fines-bretelles-black-ziah-322236,https://static.smallable.com/1709348-648x648q80/.jpg,haut de maillot triangle fines bretelles,black,ziah,1,0,106.0,106.0
/en/product/haut-de-maillot-fines-bretelles-ecru-ziah-322232,https://static.smallable.com/1709347-648x648q80/.jpg,haut de maillot fines bretelles,ecru,ziah,1,0,115.0,115.0
/en/product/porte-telephone-vesuvio-cuir-soeur-321736,https://static.smallable.com/1719759-648x648q80/.jpg,porte telephone vesuvio cuir,none,soeur,0,0,125.0,125.0
/en/product/t-shirt-valentin-coton-et-lin-ecru-soeur-321742,https://static.smallable.com/1706810-648x648q80/.jpg,t-shirt valentin coton et lin,ecru,soeur,0,0,70.0,70.0
/en/product/sweat-thibault-coton-bio-ecru-soeur-321739,https://static.smallable.com/1706809-648x648q80/.jpg,sweat thibault coton bio,ecru,soeur,1,0,145.0,145.0
/en/product/veste-matelassee-sans-manches-wismar-beige-soeur-321656,https://static.smallable.com/1706321-648x648q80/.jpg,veste matelassee sans manches wismar,beige,soeur,0,0,275.0,275.0
/en/product/gilet-tita-laine-beige-soeur-321660,https://static.smallable.com/1705507-648x648q80/.jpg,gilet tita laine,beige,soeur,0,0,165.0,165.0
/en/product/banane-facon-patchwork-gaby-collection-femme-blue-louise-misha-321396,https://static.smallable.com/1721967-648x648q80/.jpg,banane façon patchwork gaby - collection femme ,blue,louise misha,0,0,65.0,65.0
/en/product/foulard-laine-mekness-collection-femme-ecru-louise-misha-321395,https://static.smallable.com/1721964-648x648q80/.jpg,foulard laine mekness - collection femme ,ecru,louise misha,0,0,95.0,95.0
/en/product/mitaines-merinos-et-mohair-zeliette-collection-femme-blue-green-louise-misha-321388,https://static.smallable.com/1721926-648x648q80/.jpg,mitaines merinos et mohair zeliette - collection femme ,blue green,louise misha,0,0,55.0,55.0
/en/product/mitaines-merinos-et-mohair-zeliette-collection-femme-fuchsia-louise-misha-321386,https://static.smallable.com/1721915-648x648q80/.jpg,mitaines merinos et mohair zeliette - collection femme ,fuchsia,louise misha,0,0,55.0,55.0
/en/product/mitaines-merinos-et-mohair-zeliette-collection-femme-taupe-brown-louise-misha-321387,https://static.smallable.com/1721917-648x648q80/.jpg,mitaines merinos et mohair zeliette - collection femme ,taupe brown,louise misha,0,0,55.0,55.0
/en/product/echarpe-merinos-et-mohair-giulia-collection-femme-fuchsia-louise-misha-321384,https://static.smallable.com/1721904-648x648q80/.jpg,echarpe merinos et mohair giulia - collection femme ,fuchsia,louise misha,0,0,95.0,95.0
/en/product/echarpe-merinos-et-mohair-giulia-collection-femme-blue-green-louise-misha-321385,https://static.smallable.com/1721911-648x648q80/.jpg,echarpe merinos et mohair giulia - collection femme ,blue green,louise misha,0,0,95.0,95.0
/en/product/bonnet-merinos-et-mohair-abinaelle-collection-femme-blue-green-louise-misha-321383,https://static.smallable.com/1721900-648x648q80/.jpg,bonnet merinos et mohair abinaelle - collection femme ,blue green,louise misha,0,0,55.0,55.0
/en/product/headband-tricot-sidony-collection-femme-ecru-louise-misha-321379,https://static.smallable.com/1721881-648x648q80/.jpg,headband tricot sidony - collection femme ,ecru,louise misha,0,0,45.0,45.0
/en/product/bonnet-merinos-et-mohair-abinaelle-collection-femme-fuchsia-louise-misha-321382,https://static.smallable.com/1721898-648x648q80/.jpg,bonnet merinos et mohair abinaelle - collection femme ,fuchsia,louise misha,0,0,55.0,55.0
/en/product/cagoule-tricot-abinou-collection-femme-taupe-brown-louise-misha-321380,https://static.smallable.com/1721885-648x648q80/.jpg,cagoule tricot abinou - collection femme ,taupe brown,louise misha,0,0,70.0,70.0
/en/product/headband-tricot-sidony-collection-femme-heather-grey-louise-misha-321378,https://static.smallable.com/1721875-648x648q80/.jpg,headband tricot sidony - collection femme ,heather grey,louise misha,0,0,45.0,45.0
/en/product/chemise-pantalon-gaze-de-coton-loukana-collection-femme-pink-louise-misha-321376,https://static.smallable.com/1721872-648x648q80/.jpg,chemise + pantalon gaze de coton loukana - collection femme ,pink,louise misha,0,0,150.0,150.0
/en/product/chemise-pantalon-gaze-de-coton-loukana-collection-femme-blue-green-louise-misha-321375,https://static.smallable.com/1721865-648x648q80/.jpg,chemise + pantalon gaze de coton loukana - collection femme ,blue green,louise misha,0,0,150.0,150.0
/en/product/pantalon-velours-cotele-beatriz-collection-femme-caramel-louise-misha-321369,https://static.smallable.com/1721843-648x648q80/.jpg,pantalon velours côtele beatriz - collection femme ,caramel,louise misha,0,0,140.0,140.0
/en/product/pantalon-velours-cotele-beatriz-collection-femme-ecru-louise-misha-321368,https://static.smallable.com/1721834-648x648q80/.jpg,pantalon velours côtele beatriz - collection femme ,ecru,louise misha,0,0,140.0,140.0
/en/product/jupe-irina-collection-femme-midnight-blue-louise-misha-321364,https://static.smallable.com/1721828-648x648q80/.jpg,jupe irina - collection femme ,midnight blue,louise misha,0,0,130.0,130.0
/en/product/jupe-irina-collection-femme-khaki-louise-misha-321363,https://static.smallable.com/1721827-648x648q80/.jpg,jupe irina - collection femme ,khaki,louise misha,0,0,130.0,130.0
