link,img,product,color,brand,greenable,discounted,disc_price,orig_price,collection,label,gender,product_category,category
/en/product/denize-bubble-crepe-dress-sand-bellepiece-312226,https://static.smallable.com/1686202-648x648q80/.jpg,denize bubble crepe dress,sand,bellepiece,0,1,139.3,199.0,ss,dress,w,long dresses,dress_overalls
/en/product/cabane-printed-shirt-blue-hartford-304437,https://static.smallable.com/1588974-648x648q80/.jpg,cabane printed shirt,blue,hartford,0,0,155.0,155.0,ss,top,w,long sleeve shirts,top
/en/product/garden-striped-cotton-poplin-top-blue-girls-of-dust-299611,https://static.smallable.com/1677878-648x648q80/.jpg,garden striped cotton poplin top,blue,girls of dust,0,1,108.0,135.0,ss,top,w,short sleeve blouses,top
/en/product/tsikis-x-alma-deia-exclusive-blava-body-chain-orange-alma-deia-314807,https://static.smallable.com/1641315-648x648q80/.jpg,tsikis x alma deia exclusive - blava body chain,orange,alma deia,0,0,215.0,215.0,ss,underwear,w,necklaces,jewelry
/en/product/peggy-ibiza-striped-dress-yellow-the-label-edition-316679,https://static.smallable.com/1669582-648x648q80/.jpg,peggy ibiza striped dress,yellow,the label edition,0,1,308.0,440.0,ss,dress,w,long dresses,dress_overalls
/en/product/beau-cotton-poplin-shirt-lilac-xirena-299776,https://static.smallable.com/1590489-648x648q80/.jpg,beau cotton poplin shirt,lilac,xirena,0,1,140.0,200.0,ss,top,w,long sleeve shirts,top
/en/product/flat-chain-rainbow-necklace-pink-vanessa-baroni-275626,https://static.smallable.com/1715664-648x648q80/.jpg,flat chain rainbow necklace,pink,vanessa baroni,0,0,129.0,129.0,ss,jewelry,w,necklaces,jewelry
/en/product/rex-trousers-khaki-xirena-306802,https://static.smallable.com/1646927-648x648q80/.jpg,rex trousers,khaki,xirena,0,1,193.2,276.0,ss,bottom,w,straight leg trousers,bottom
/en/product/linen-and-cotton-striped-shorts-orange-bobo-choses-301108,https://static.smallable.com/1624336-648x648q80/.jpg,linen and cotton striped shorts,orange,bobo choses,0,1,53.4,89.0,ss,bottom,w,shorts,bottom
/en/product/collaboration-soeur-x-leandra-cohen-bermuda-east-side-green-soeur-322640,https://static.smallable.com/1693973-648x648q80/.jpg,collaboration soeur x leandra cohen - bermuda east side,green,soeur,0,0,165.0,165.0,ss,bottom,w,shorts,bottom
/en/product/cap-light-blue-bather-319662,https://static.smallable.com/1682773-648x648q80/.jpg,cap,light blue,bather,0,0,60.0,60.0,ss,accessories,w,caps,accessories
/en/product/azzuro-hoop-earrings-navy-blue-anni-lu-246699,https://static.smallable.com/1317515-648x648q80/.jpg,azzuro hoop earrings,navy blue,anni lu,1,1,30.1,43.0,ss,jewelry,w,earrings,jewelry
/en/product/gunilla-patchwork-skirt-blue-birgitte-herskind-306502,https://static.smallable.com/1630451-648x648q80/.jpg,gunilla patchwork skirt,blue,birgitte herskind,1,1,124.5,249.0,ss,bottom,w,long skirts,bottom
/en/product/custine-recycled-cotton-bumbag-black-rive-droite-226988,https://static.smallable.com/1249355-648x648q80/custine-recycled-cotton-bumbag.jpg,custine recycled cotton bumbag ,black,rivedroite,1,0,60.0,60.0,ss,bags,w,shoulder bags,bag
/en/product/90s-crop-organic-cotton-jeans-replica-agolde-275132,https://static.smallable.com/1454768-648x648q80/.jpg,90s crop organic cotton jeans,replica,agolde,1,0,269.0,269.0,ss,bottom,w,straight,bottom
/en/product/richard-organic-cotton-dress-carbon-leon-harper-259112,https://static.smallable.com/1436588-648x648q80/.jpg,richard organic cotton dress,carbon,leon & harper,1,1,47.5,95.0,ss,dress,w,long dresses,dress_overalls
/en/product/susel-organic-cotton-t-shirt-white-humanoid-306486,https://static.smallable.com/1638688-648x648q80/.jpg,susel organic cotton t-shirt,white,humanoid,1,0,99.0,99.0,ss,top,w,short sleeve t-shirts,top
/en/product/casquette-sunflare-trucker-black-deux-ex-machina-305914,https://static.smallable.com/1702026-648x648q80/.jpg,casquette sunflare trucker,black,deus ex machina,0,1,23.4,39.0,ss,accessories,w,caps,accessories
